"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"ASASSN-15ad","2014/12/29","16.6","-18.5","PGC 902451","0.024","Ia","0.1818",""
"SN2013gi","2013/11/13","17.9","-17.74","PGC 75726","0.0301","Ia","0.0578",""
"SN2017nx","2017/01/23","18.2","-19.8","SDSS","0.089,0.089","Ia","0.2206",""
"SN2017gbo","2017/08/11","17.83","-18","","0.04,0.04","Ia","0.1572",""
"SN2018fhx","2018/08/21","16.7","-18.3767","2MASX J06243821-2343546","0.023266,0.023266","Ia","0.0483",""
"OGLE-2014-SN-010","2014/02/06","18.94","-18.9","","0.081","Ia","0.0626",""
"SN1986O","1986/12/24","14","-18.2","NGC 2227","0.0075","Ia","0.0704",""
"SN2018ajp","2018/03/18","16.55","-18.6151","2MASX J06270377-2538204","0.024227,0.024227","Ia","0.0656",""
"SN1999ao","1999/03/05","17.87","-19.1","Abell 3392","0.055,0.054,0.055,0.054","Ia","0.0557",""
"SN2017iuu","2017/12/07","17.49","-18.9","","0.043,0.043","Ia","0.1343",""
"SN2018kzc","2018/12/27","17.5","-18.64","","0.0378,0.0378","Ia","",""
"OGLE-2015-SN-017","2015/01/14","19.21","-19","","0.09","Ia","0.0571",""
"SN2009mn","2009/10/15","21.8","-18.5","A063136+2519","0.25,0.25","Ia","0.2652",""
"SN2009aw","2009/01/25","19.8","-18","A063147+2455","0.08,0.08","Ia","0.2849",""
"SN2016hsc","2016/10/01","15.07","-17","","0.006","Ia","0.0814",""
"SN1993ai","1993/12/10","18","-17.9","UGC 3483","0.034,0.034,0.034","Ia","0.1035",""
"SN2011hu","2011/11/06","17.2","-18.04","ESO 365-G29","0.0251","Ia","0.0835",""
"SN2014cc","2014/08/09","15.9","-19","NGC 2255","0.02","Ia","0.0915",""
"SN2016aqs","2016/02/27","16.28","-19","","0.03","Ia","0.057",""
"SN2018gvl","2018/09/22","16.07","-19.949","UGC 3488","0.035795,0.035795","Ia","0.0867",""
"SN1992E","1992/01/27","20","-17","A063517-5956","0.06","Ia","0.0634",""
"SN2014cj","2014/08/13","17","-18","ESO 87-G31","0.02","Ia","0.0488",""
"OGLE-2013-SN-130","2013/12/01","19.59","-18","","0.09","Ia Pec","0.0538",""
"SN2016alt","2016/02/14","18.45","-20","","0.09,0.09","Ia","0.124",""
"SN2002kf","2002/12/21","15.8","-18.87","CGCG 233-023","0.0193,0.0193,0.0196","Ia","0.0994",""
"ASASSN-15tt","2015/12/08","17.1","-18.8","2MASXi J0638012-373927","0.034","Ia","0.1055",""
"OGLE-2013-SN-148","2013/12/26","19.46","-17","","0.043","Ia","0.0862",""
"SN2012ad","2012/01/26","17.9","-19.4","A063845+6720","0.064","Ia","0.0627",""
"SN2016jfy","2016/12/28","18.21","-17.7","LEDA 310623","0.034,0.034","Ia","0.0567",""
"SN2016jav","2016/12/24","18.33","-18.7","","0.057","Ia","0.0605",""
"SN2018agj","2018/03/13","16.94","-19.47","LEDA 149048","0.0428","Ia-91T","0.0574",""
"SN2008bq","2008/04/02","16.82","-19.1142","ESO 308-G25","0.034436,0.034436","Ia","0.0774",""
"ASASSN-14hu","2014/09/27","15.6","-18.5","ESO 58-G12","0.015","Ia","0.0612",""
"SN2018imi","2018/10/31","18.92","-19","","0.09,0.09","Ia","",""
"SN2012hz","2012/12/10","17.6","-18.8","A064341+5212","0.043","Ia","0.0666",""
"SN2017isu","2017/12/03","18.8","-19","","0.08,0.08","Ia","0.0921",""
"SN2016hvl","2016/11/04","15.36","-18.4","UGC 3524","0.013,0.013","Ia","0.3766",""
"SN2018idw","2018/11/07","18.24","-17.8455","ESO 427-G1","0.036899","Ia","",""
"SN2017X","2017/01/01","17.8","-19.6","","0.067,0.067","Ia-91T","0.0722",""
"ASASSN-15ug","2015/12/18","","","Unknown","0.0222","Ia","0.0768",""
"ASASSN-15gr","2015/04/09","15.9","-19.2","ESO 266-G15","0.024","Ia","0.0823",""
"SN2004S","2004/02/03","14.32","-18.6","MCG -05-16-21","0.00937,0.00937,0.00901","Ia","0.0857",""
"SN2018avw","2018/04/17","18.79","-18","","0.06","Ia","0.1274",""
"SN2018kss","2018/12/22","17.93","-16.9237","UGC 3535","0.021008","Ia","",""
"SN2016dsy","2016/02/22","16.62","-20.3","","0.055","Ia","0.0623",""
"SN2016iqx","2016/12/01","16.62","-19.0275","ESO 087-IG 041 NED01","0.030208,0.030208","Ia","0.0661",""
"SN1997E","1997/01/14","15.32","-18.4","NGC 2258","0.01354,0.01354","Ia","0.1101",""
"SN2011fn","2011/06/29","17.9","-15.68","A064830-6415","0.0117","Ia","0.065",""
"ASASSN-15kq","2015/06/06","16.4","-18.982","GALEXASC J064843.83-541213.4","0.026755","Ia","0.089",""
"SN1995A","1995/01/02","18","-17.747","MCG +04-16-06","0.03161","Ia","0.0727",""
"SN2018xi","2018/02/14","16.96","-19","","0.03,0.03","Ia","0.0856",""
"SN2016asf","2016/03/06","15.77","-17.73","KUG 0647+311","0.0113","Ia","0.1143",""
"SN2018jmo","2018/12/06","16.47","","2MASX J06512361+4538445","","Ia","",""
"SN1996bt","1996/11/10","16.5","-16.488","A065157+1617","0.008923","Ia","0.1111",""
"SN2018fqz","2018/08/30","17.24","-18.8363","NSA 134388","0.036745,0.036745","Ia","0.066",""
"SN1998ec","1998/09/26","16.2","-18.4","UGC 3576","0.0199,0.0198,0.0199,0.0194,0.0245","Ia","0.072",""
"SN2009mj","2009/12/10","17.9","-16.8","MCG +07-14-18","0.0196","Ia","0.0904",""
"SN2001ex","2001/10/16","17","-18.351","UGC 3595","0.02638","Ia","0.0452",""
"SN2012fm","2012/10/21","14.9","-19.153","UGC 3528","0.014553","Ia","0.0595",""
"SN2012ih","2012/12/10","16.4","-18.271","MCG +08-13-32","0.01932","Ia","0.0656",""
"SN2008C","2008/01/03","14.89","-19.5104","UGC 3611","0.017067,0.016621","Ia","0.072",""
"SN2008O","2008/01/22","16.9","-19.3","ESO 256-G11","0.0389","Ia","0.0763",""
"SN2011ij","2011/11/18","18.7","","A065807+3713","","Ia","0.0884",""
"SN2018ghb","2018/09/14","15.2","-17.437","ESO 427- G 022","0.007595,0.007595","Ia","0.1284",""
"SN2017grd","2017/09/09","17.59","-18","","0.03,0.03","Ia","0.0506",""
"SN2001C","2001/01/04","14.4","-19.02","CGCG 285-012","0.0109,0.0111","Ia","0.0602",""
"SN2017ibu","2017/11/10","19.97","-18.84","","0.127,0.127","Ia","0.1129",""
"SN2005na","2005/12/31","16.1","-18.94","UGC 3634","0.026815,0.026322","Ia","0.0681",""
"SN2018vs","2018/02/14","17.7","-18.8606","ESO 207- G 015","0.045825,0.045825","Ia","0.0651",""
"SN2011ay","2011/03/18","16.62","-18.2","NGC 2315","0.021","Ia-02cx","0.0694",""
"SN2010ih","2010/09/29","12.8","-19.2","NGC 2325","0.0072,0.0073","Ia","0.1028",""
"SN2018izd","2018/11/21","16.7","-19","","0.03,0.03","Ia","",""
"SN2017jav","2017/12/19","18.17","-15.973","CGCG 285-013","0.01517,0.01517,0.01517","Ia","0.0462",""
"SN2015bk","2015/12/31","20.6","-19.72","","0.249,0.249","Ia","0.0431",""
"SN2018hrr","2018/10/31","17.43","-19","2MASX J07034486+5932426","0.04,0.04","Ia","",""
"SN2017hmz","2017/10/17","17.39","-19","","0.043,0.043","Ia","0.0688",""
"SN1998en","1998/10/30","18.4","-16.48","UGC 3645","0.0213","II","0.06",""
"SN2015bv","2015/11/12","16.5","-21","PGC 1641403","0.08","Ia","0.0743",""
"SN2016jab","2016/12/23","16.3","-18.6","PGC 241921","0.0215,0.0215","Ia","0.1487",""
"SN2000B","2000/01/11","15.8","-18.6","NGC 2320","0.01983","Ia","0.0579",""
"SN2007ki","2007/09/27","18.5","-15.83","MCG +05-17-10","0.0165","Ia","0.0689",""
"SN2011gn","2011/09/30","16.9","-18.7","MCG +13-05-36","0.029","Ia","0.0396",""
"SN2011jr","2011/12/25","17.1","-17.91","UGC 3676","0.0226","Ia","0.051",""
"SN2018kyi","2018/12/27","16.62","-18.27","","0.0214","Ia","",""
"SN2012hg","2012/11/25","16.8","-19.33","MCG +09-12-33","0.0377","Ia","0.0391",""
"SN1998an","1998/04/06","16.4","-18.2","UGC 3683","0.019,0.019","Ia","0.0799",""
"SN2017hrm","2017/10/27","18.58","-17.9","","0.044,0.044","Ia","0.2009",""
"SN2016am","2016/01/01","18.12","-19","","0.06,0.06","Ia","0.0579",""
"SN2018gec","2018/09/10","15.65","-20.4495","UGC 3700","0.037136,0.037136,0.037136","Ia","0.0576",""
"ASASSN-15uq","2015/12/29","16.2","-18.8","Unknown","0.022","Ia","0.0983",""
"SN2017nh","2017/01/23","17.6","-19.6","2MASX J07101346+2712041","0.061","Ia","0.0533",""
"SN2018pj","2018/02/04","18","-19","2MASX J07103280+3238411","0.055,0.055","Ia","0.0504",""
"SN2005ai","2005/02/12","15.9","-17.8","NGC 2314","0.012762","Ia","0.0367",""
"SN2018ahj","2018/03/17","18.58","-19.3","","0.082,0.082","Ia","0.0337",""
"SN2017hqe","2017/10/17","18.29","-17.9","","0.038,0.038","Ia","0.1404",""
"SN2009ag","2009/02/18","15.9","-17.02","ESO 492-G2","0.00864","Ia","0.218",""
"SN2007au","2007/03/18","16.4","-18.1","UGC 3725","0.020584","Ia","0.0584",""
"SN2016ys","2016/01/28","16.7","-18.8081","UGC 3738","0.028343,0.028343","Ia","0.0585",""
"SN2018jts","2018/12/09","18.56","-19","","0.07,0.07","Ia","",""
"SN2003ix","2003/10/19","18.8","-16.5","UGC 3746","0.026,0.026","Ia","0.0672",""
"SN2018itl","2018/11/15","17.22","-18.8","","0.036,0.036","Ia","",""
"SN1982B","1982/02/12","13.35","-19.2","NGC 2268","0.00665,0.00727,0.00665","Ia","0.0545",""
"SN1992M","1992/02/25","18","-18.8383","2MASX J07150996+4525556","0.051999","Ia","0.0732",""
"SN2016en","2016/01/13","20.44","-18.48","","0.133,0.133","Ia","0.0991",""
"SN2000fa","2000/11/30","15.85","-18.9","UGC 3770","0.02127,0.02127","Ia","0.0558",""
"SN2018grg","2018/09/16","18.98","-18.3","","0.065,0.065","Ia","0.0612",""
"SN2009mv","2009/12/16","17.4","","A071539+3514","","Ia","0.0533",""
"SN2010ae","2010/02/22","15.9","-14","ESO 162-G17","0.003662","Ia-02cx","0.1215",""
"SN2008fp","2008/09/11","13.39","-18.836","ESO 428-G14","0.006287,0.005664","Ia","0.1686",""
"SN2008cm","2008/05/24","16.08","-17.38","NGC 2369","0.0111,0.0116,0.0108,0.0111","Ia","0.0982",""
"SN2012ii","2012/12/23","17.5","-19.7","A071655+5145","0.062","Ia","0.0644",""
"SN2010jz","2010/11/02","17.9","-19.5","A071715+4523","0.066,0.066","Ia","0.073",""
"SN2018fay","2018/08/12","16.67","-19","","0.031,0.031","Ia-91T","0.0614",""
"SN2018joo","2018/12/03","18.58","-19","","0.08,0.08","Ia","",""
"HFF13cha","2013/12/24","23","-19.13","","0.557","Ia","0.0656",""
"SN2015I","2015/05/02","13.71","-18.925","NGC 2357","0.007589","Ia","0.0573",""
"SN2018fsq","2018/08/30","17.45","-19","","0.043,0.043","Ia","0.1062",""
"SN2018azu","2018/04/12","16.81","-18.2","","0.023,0.023","Ia","0.0553",""
"SN2003ch","2003/03/21","16.74","-19.06","UGC 3787","0.0268,0.0275,0.0304","Ia","0.0609",""
"SN2017hyr","2017/11/07","17.86","-18","KUG 0714+471","0.04,0.04","Ia","0.091",""
"SN2013ax","2013/03/07","17.4","-18.8922","MCG +09-12-55","0.040548","Ia","0.0658",""
"SN2017hyi","2017/11/05","18.3","-17.7904","","0.036982","Ia","0.0575",""
"SN2018iqu","2018/11/15","18.3","-19.6","","0.084,0.084","Ia","",""
"SN2013gt","2013/11/16","17.2","-18.9572","PGC 20784","0.038126","Ia","0.0657",""
"SN2018ahi","2018/03/17","19.43","-19","","0.09,0.09","Ia","0.0587",""
"SN2005bu","2005/04/21","17.5","-18.07","CGCG 117-019","0.0292","Ia","0.0464",""
"SN2017gqe","2017/09/04","16.7","-19.175","FAIRALL 0830","0.03352,0.03352","Ia","0.1495",""
"SN2017ijq","2017/11/20","18.5","-19.2","","0.076,0.076","Ia","0.0562",""
"SN2018jvy","2018/12/09","18.98","-19","","0.07,0.07","Ia","",""
"PSN J07250042+2347030","2012/10/16","17","-17.558","NGC 2370","0.018346","Ia","0.052",""
"SN2017xx","2017/01/27","16.2","-20.3","GALEXASC J072538.14+590010.5","0.044","Ia","0.0427",""
"SN1997do","1997/10/31","14.45","-18.8","UGC 3845","0.01012,0.01012","Ia","0.0534",""
"SN1987L","1987/08/16","14.2","-18","NGC 2336","0.0073","Ia","0.0282",""
"SN2010jv","2010/11/14","14.82","-19","NGC 2379","0.013","Ia","0.0487",""
"SN2017jeh","2017/12/26","16.54","-18.3088","CGCG 261-072","0.020961,0.020961","Ia","0.0547",""
"SN2016ayg","2016/03/10","17.32","-19.2","SDSS J073017.25+250153.5","0.046,0.046","Ia","0.0426",""
"SN2018abj","2018/03/06","18.29","-19.3","","0.074,0.074","Ia","0.0474",""
"SN2013fm","2013/09/06","16.7","-19.693","MCG +10-11-68","0.04245","Ia","0.054",""
"SN2001eg","2001/08/29","17.8","-15.96","UGC 3885","0.0127","Ia","0.0425",""
"SN2018iui","2018/11/18","15.6","-21.12","","0.0493,0.0493","Ia","",""
"PSN J07325276+2929530","2013/12/23","17.8","","","","Ia-91T","0.0629",""
"SN2019ava","2019/02/08","18.15","-18.1018","KUG 0728+583","0.039807,0.039807","Ia","",""
"SN2018bqi","2018/05/14","17.86","-17.9","","0.032,0.032","Ia","0.2372",""
"SN2016bjd","2016/03/19","18.31","-19","2MASX J07333933+4817529","0.07","Ia","0.09",""
"SN2016hgx","2016/10/20","18.67","-17.4","","0.036,0.036","Ia","0.0524",""
"SN2011il","2011/11/20","17","","A073508+1911","","Ia","0.0441",""
"SN2008is","2008/11/29","20.4","-18.3","A073514+3916","0.12,0.12","Ia","0.0436",""
"SN2012ik","2012/12/23","19.4","-17.9","PGC 2401776","0.064","Ia","0.0576",""
"ASASSN-14jc","2014/10/19","15.4","-18.1066","2MASX J07353554-6246099","0.011325","Ia","0.1346",""
"SN2006ow","2006/11/26","18","-19.9","UGC 3908","0.084","Ia","0.037",""
"SN2011ax","2011/03/10","18.3","-18.9","A073609+4727","0.062","Ia","0.1104",""
"SN2015F","2015/03/09","13.1","-18.8","NGC 2442","0.00541","Ia","0.1749",""
"SN2011aa","2011/02/06","13.9","-19.8237","UGC 3906","0.012512","Ia Pec?","0.0237",""
"SN1988C","1988/01/21","17","-17.5","MCG +07-16-08","0.01967","Ia","0.0435",""
"ASASSN-13dl","2013/10/10","16.28","-19.1","Unknown","0.027","Ia","0.0469",""
"SN2016afb","2016/01/29","17.72","-19.6","","0.066,0.066,0.065","Ia","0.0328",""
"SN2008gh","2008/10/11","18.7","-17.214","UGC 3957","0.03412","Ia","0.0419",""
"SN1997J","1997/01/05","22.95","-19.41","A074117+0933","0.619,0.62","Ia","0.0327",""
"SN2017hor","2017/10/08","18.27","-18","","0.04,0.04","Ia","0.0467",""
"SN2017hfv","2017/10/10","16.5","-18.9969","CGCG 087-028","0.028199,0.028199","Ia","0.0346",""
"SN2001eo","2001/10/01","17.3","-20","UGC 3963","0.065","Ia","0.0474",""
"SN2008hq","2008/11/22","18.8","-18.54","UGC 3963","0.0653","Ia","0.0476",""
"SN1998ex","1998/11/25","18.5","-17.6","MCG +11-10-16","0.037,0.037","Ia","0.0275",""
"SN1992bg","1992/10/21","17.33","-18.17","A074156-6231","0.0282,0.0289,0.0344,0.0418","Ia","0.1561",""
"OGLE-2014-SN-016","2014/02/18","19.4","-18","","0.07","Ia","0.1611",""
"SN2016dvw","2016/04/01","18.68","-18.7","","0.068","Ia","0.0352",""
"SN2019aba","2019/01/24","18.74","-18.5","","0.062,0.062","Ia","",""
"SN2018iqa","2018/11/19","18.9","-19","","0.1,0.1","Ia","",""
"SN2003gh","2003/06/29","15.5","-19","NGC 2466","0.018","Ia","0.141",""
"SN1998B","1998/01/01","18.5","-18","A074602+1843","0.046,0.045","Ia","0.0332",""
"SN2007R","2007/01/26","15.8","-19.886","UGC 4008","0.03075,0.03088","Ia","0.0377",""
"SN2017ijr","2017/11/20","15.39","-21","","0.04,0.04","Ia","0.0243",""
"SN2017ckx","2017/03/28","13.88","-21.5759","UGC 4030 NED01","0.027675,0.027675","Ia","0.0295",""
"SN1997ea","1997/11/30","19","-18.3","A074837+5213","0.065,0.065","Ia","0.047",""
"SN2014ak","2014/03/26","16.3","-18.3236","NGC 2446","0.018906","Ia","0.0518",""
"SN2016ajq","2016/02/09","17.16","-18.4","","0.029,0.029","Ia","0.0391",""
"SN2002ab","2002/01/09","21.72","-19.79","A074855+1006","0.422,0.423","Ia","0.0171",""
"SN2018fsr","2018/08/30","18.37","-17.085","","0.02766,0.02766","Ia","0.0522",""
"SN2001iv","2001/12/09","21.69","-19.675","A075013+1017","0.3965","Ia","0.0189",""
"SN2001hu","2001/11/12","23.57","-19.57","A075035+0958","0.882,0.882","Ia","0.0177",""
"SN2001iw","2001/12/09","21.32","-19.697","A075039+1020","0.3396","Ia","0.0187",""
"SN2018gva","2018/09/25","16","-18.9007","CGCG 286-070","0.021465,0.021465","Ia","0.0485",""
"SN1987O","1987/12/20","17","-17.3","MCG +02-20-09","0.016","Ia","0.0301",""
"SN1988D","1988/02/09","15.5","-19","MCG +00-20-06","0.018","Ia","0.0233",""
"SN1995E","1995/02/20","15","-17.9","NGC 2441","0.01158,0.01158","Ia","0.0229",""
"SN2016ajp","2016/02/06","20.63","-19","","0.2,0.2","Ia","0.0219",""
"SN2018hjw","2018/10/11","16.78","-19.3881","CGCG 030-025","0.038316,0.038316","Ia-91T","0.0202",""
"SN2016izg","2016/12/22","16.4","-19.2163","CGCG 058-057","0.029781,0.029781","Ia","0.0252",""
"SN2018jai","2018/11/20","17.97","-19","2MFGC 6264","0.05,0.05","Ia Pec","",""
"SN2016ajr","2016/02/06","20.42","-19","","0.17,0.17","Ia","0.0527",""
"SN1997K","1997/01/06","23.55","-18.71","A075455+0419","0.592,0.592","Ia","0.0182",""
"SN2012dq","2012/07/09","15.4","-18.149","UGC 4067","0.011548","Ia","0.0194",""
"SN1987P","1987/12/20","18.5","-18","PGC 22178","0.045","Ia","0.0281",""
"SN2017jnb","2017/12/25","20.09","-19.2","","0.16,0.16","Ia","0.0459",""
"ASASSN-15tj","2015/12/03","16.5","-18.4806","SDSS J075527.63+520911.1","0.022265","Ia","0.0405",""
"PSN J07562525+2700488","2014/03/14","16","-18.937","UGC 4105","0.02182","Ia","0.0319",""
"SN2016bfw","2016/03/05","20.03","-18.76","","0.126,0.126","Ia","0.0308",""
"SN2018iko","2018/11/07","17.19","-19.632","2MASX J07563416+3010325","0.05162","Ia","",""
"SN2012gy","2012/11/15","17.2","-20.2","SDSS J075635.70+395405.0","0.067","Ia","0.0457",""
"SN1994C","1994/03/05","18.08","-18.683","MCG +08-15-23","0.05024","Ia","0.0377",""
"SN2001ks","2001/04/18","18.7","-19","A075646+3659","0.078,0.078","Ia","0.0438",""
"SN2016inv","2016/11/26","17.78","-18.6707","","0.043586","Ia","0.0407",""
"SN2016hqh","2016/10/24","17.35","-19.6","","0.054,0.054","Ia","0.0533",""
"SN2018gkw","2018/09/08","18.76","-18.8","","0.072,0.072","Ia","0.0399",""
"SN2017cug","2017/04/04","16.59","-18.6","LEDA 79159","0.024,0.024","Ia","0.2446",""
"SN2018gkz","2018/09/11","18.5","-21.7","","0.24,0.23,0.24","Ia","0.036",""
"SN1975O","1975/11/30","14.32","-20","NGC 2487","0.0161,0.0171","Ia","0.0413",""
"SN2014dv","2014/11/17","16","-16","NGC 2501","0.007","Ia","0.0884",""
"SN2006uc","2006/12/16","21.6","","A075845+5401","","Ia","0.0331",""
"SN2012L","2012/01/13","","","A075900+2709","0.075","Ia","0.0331",""
"SN2005eo","2005/09/27","17.22","-17","UGC 4132","0.0173,0.017","Ia","0.0581",""
"SN2019oc","2019/01/10","19.18","-18.2","","0.067,0.067","Ia","",""
"SN2018jov","2018/12/08","16.05","-18.6088","","0.019213,0.019213","Ia","",""
"SN2006qo","2006/11/29","16.8","-18.64","UGC 4133","0.030455","Ia","0.0324",""
"SN2018kij","2018/12/20","17.53","-18.842","SDSS J080026.48+424916.7","0.04205,0.04205","Ia","",""
"SN1999Q","1999/01/14","22.3","-19.4","A080045+0531","0.46,0.46,0.46","Ia","0.0181",""
"SN2009bc","2009/03/17","19.91","-18.79","A080047+4656","0.121,0.12,0.121","Ia","0.0596",""
"SN2003P","2003/01/23","18","-17.8929","MCG +09-13-107","0.033793","Ia","0.0383",""
"SN2003av","2003/02/04","19.5","-19.5","NEAT J080132.34+024826.7","0.14,0.14,0.14","Ia","0.0256",""
"SN2009ko","2009/10/28","16.3","-17.99","UGC 4175","0.0162","Ia","0.0273",""
"OGLE-2013-SN-099","2013/10/17","17.65","-17.8","ESO 59-G24","0.028","Ia","0.2615",""
"SN2010ja","2010/10/15","17.9","-16","NGC 2513","0.0156","Ia","0.0193",""
"SN2016foy","2016/08/30","17.56","-17.9","ESO -59-G-24","0.028","Ia","0.2615",""
"SN2000fy","2000/12/06","19.5","-19.138","A080313+4736","0.1174,0.12,0.1174","Ia","0.0333",""
"SN2003ik","2003/09/29","19","-16.12","MCG +11-10-56","0.02373","Ia","0.0538",""
"SN1998I","1998/01/23","23.6","-19.55","A080451+0515","0.886,0.89,0.89","Ia","0.0246",""
"SN2016fob","2016/08/30","16.1","-19","CGMW 2-2125","0.024,0.024","Ia","0.1853",""
"SN2000ce","2000/05/08","0.272","-33.8","UGC 4195","0.01631","Ia","0.0473",""
"ASASSN-15py","2015/09/25","17.78","-18.7282","SDSS J080519.59+225751.1","0.044743","Ia","0.043",""
"SN2018gv","2018/01/15","15.38","-16.464","NGC 2525","0.005274","Ia","0.0497",""
"SN2019gf","2019/01/05","18.8","-18","","0.06,0.06","Ia-91T","",""
"ASASSN-15eb","2015/02/26","16","-18.3242","ESO 561-G12","0.016481","Ia","0.1652",""
"SN2006mq","2006/10/22","12.7","-18.1","ESO 494-G26","0.0032","Ia","0.3633",""
"SN2010H","2010/01/16","15.2","-18.95","IC 494","0.0152,0.0154","Ia","0.0259",""
"SN2016ipf","2016/11/28","17.55","-17.3","CGCG 031-049","0.021,0.021","Ia","0.024",""
"SN2016ins","2016/11/26","16.3","-18.5223","IC 0493","0.020708,0.020708","Ia","0.0335",""
"SN2003bf","2003/02/18","17.2","-18.6793","2MASX J08082660+1219571","0.033583","Ia","0.0204",""
"SN2003ax","2003/02/09","18.4","-18.5214","2MASX J08083589+0746399","0.054001","Ia","0.0219",""
"SN2003cp","2003/03/30","16.2","-18.2","MCG +10-12-78","0.02,0.02","Ia","0.0397",""
"SN2016A","2016/01/02","16.8","-17.6394","UGC 4251","0.017375,0.017375","Ia","0.0363",""
"SN2008hu","2008/12/01","18.3","-18.477","ESO 561-G18","0.05056","Ia","0.0921",""
"SN2018jet","2018/11/21","18.87","-18","","0.06,0.06","Ia Pec","",""
"SN2017aac","2017/01/29","16.97","-19","2MASX J08103080+0515368","0.03,0.03","Ia","0.021",""
"SN2011ju","2011/12/25","19.2","-19.15","A081043+4025","0.103,0.103","Ia","0.0449",""
"SN2018ph","2018/02/05","16.4","-19.263","UGC 4265","0.030424,0.030424","Ia","0.0232",""
"SN2006te","2006/12/28","15.8","-19.9455","CGCG 207-042","0.031592","Ia","0.0385",""
"SN2018jst","2018/12/09","19.09","-18","SDSS J081231.13+382456.1","0.07,0.07","Ia","",""
"SN2011Y","2011/01/27","17.3","-20.1","A081258-2734","0.068","Ia","0.2308",""
"SN2017iyw","2017/12/18","15.27","-19.63","VII Zw 218","0.0215,0.0215","Ia","0.0226",""
"SN2016hdw","2016/10/11","18.34","-19","","0.06","Ia","0.0352",""
"SN2018hls","2018/10/17","17.72","-17.6972","UGC 4289","0.027189","Ia","",""
"SN2017cir","2017/03/16","18.76","-19","","0.07,0.07","Ia","0.062",""
"SN2008ir","2008/11/27","18.7","-18.7","A081612-0721","0.066,0.066","Ia","0.1377",""
"SN2016ajs","2016/02/10","19.94","-18.7","","0.12,0.12","Ia","0.0465",""
"SN2013cd","2013/04/28","16.7","-19.511","UGC 4294","0.03908","Ia","0.0694",""
"SN2018aki","2018/03/21","17.3","-18.3477","2MASX J08170689+5600187","0.030211,0.030211,0.030211","Ia","0.0555",""
"SN2018ide","2018/11/03","18.93","-19","","0.07,0.07","Ia-91T","",""
"SN2016gxq","2016/10/04","18.1","-15.51","UGC 4308","0.0119,0.0119","Ia","0.0335",""
"SN2013gq","2013/03/25","14.7","-19.3","NGC 2554","0.014","Ia","0.0462",""
"SN1997es","1997/12/28","24.3","-18.2","A081840+0313","0.65","Ia","0.0214",""
"SN2014Q","2014/01/29","17","-19.6","PGC 2557093","0.046","Ia","0.0684",""
"SN2016dag","2016/07/09","17","-17.666","ESO -18-G-002","0.01928","Ia","0.0694",""
"SN2017dfu","2017/04/16","18.14","-18.4","PGC 897432","0.045,0.045","Ia","0.075",""
"SN2016bbk","2016/03/01","18.77","-19","","0.09","Ia","0.0669",""
"SN2002he","2002/10/28","15.8","-19.36","UGC 4322","0.024564","Ia Pec","0.0341",""
"SN2017bj","2017/01/07","19.14","-18.187","2MASX J08200641+5201437","0.06494,0.06494","Ia","0.0353",""
"SN2018hcq","2018/10/06","17","-19.0003","ESO 089- G 019","0.035491,0.035491","Ia-91T","0.1243",""
"SN1994B","1994/01/16","19.23","-18.7935","[P94a] 081751.35+155320.5","0.089002","Ia","0.0296",""
"SN2000et","2000/11/17","19.4","","A082115+0109","","Ia","0.0364",""
"SN2013fg","2013/09/02","15.4","-18.7688","NGC 2578","0.015347","Ia","0.0501",""
"SN1997ez","1997/12/29","23.4","-19.46","A082138+0325","0.778,0.78,0.78","Ia","0.0219",""
"SN1997L","1997/01/05","22.74","-19.4","A082157+0353","0.55,0.55","Ia","0.0219",""
"SN1997fa","1997/12/29","22.5","-19","A082203+0324","0.5","Ia","0.0233",""
"SN2007ax","2007/03/21","14.54","-18","NGC 2577","0.006861,0.007638","Ia Pec","0.0446",""
"SN1997et","1997/12/28","23.2","-19.2","A082253+0352","0.63","Ia","0.0243",""
"SN1997eu","1997/12/28","22.4","-19.9","A082300+0408","0.59","Ia","0.0228",""
"SN2011ba","2011/03/24","19.6","-19.49","A082309+1604","0.144,0.144","Ia","0.0249",""
"SN1999be","1999/03/10","16.5","-18.05","MCG +03-22-07","0.0183","Ia","0.0393",""
"SN1997N","1997/01/05","20.5","-19.1","A082350+0328","0.18,0.18,0.18","Ia","0.0272",""
"KSN2015a","2015/06/03","18.5","-17.4","","0.034","Ia","0.0278",""
"SN1997af","1997/03/05","22.94","-19.27","A082352+0408","0.579,0.579,0.579","Ia","0.0241",""
"SN2017byb","2017/03/04","17.29","-17.64","MCG -01-22-11","0.02175,0.02175","Ia","0.0529",""
"SN1997O","1997/01/06","22.74","-18.49","A082402+0407","0.374,0.37,0.37","Ia","0.0243",""
"SN1997ac","1997/02/10","21.27","-19.6","A082405+0411","0.32,0.32,0.32","Ia","0.0238",""
"SN1997as","1997/03/08","22.1","-19.82","A082409-0048","0.508,0.51,0.51","Ia","0.036",""
"SN1999am","1999/02/18","17.8","-18","CGCG 060-009","0.032","Ia","0.0346",""
"SN1996cg","1996/03/17","22.13","-19.7","A082413+0324","0.49,0.49,0.47,0.49","Ia","0.03",""
"SN1997ex","1997/12/28","21.6","-19.5","A082427+0352","0.36","Ia","0.0235",""
"SN1996K","1996/02/20","23","-18.3","A082443-0021","0.38,0.38,0.38","Ia","0.039",""
