"Name","Disc. Date","mmax","Mmax","Host Name","z","Type","E(B-V)","X-ray"
"SN2017glz","2017/09/01","18.33","-18","APMUKS(BJ) B001018.56-230829.4","0.05,0.05","Ia","0.02",""
"SN2005hx","2005/10/11","19.51","-19.1992","SDSS J01259.98+001454.8","0.121,0.121242","Ia","0.0282",""
"SN2005ii","2005/10/20","21.38","-19.74","SDSS J01303.75-003712.9","0.356,0.361","Ia","0.0372",""
"SN2005mm","2005/11/20","22.19","-19.09","SDSS J01309.56+010844.6","0.382","Ia","0.0214",""
"SN2002iu","2002/10/30","18.9","-19.69","A001333-1013","0.115","Ia","0.0339",""
"SN2002jt","2002/11/28","22.6","-18.68","A001336-1008","0.382","Ia","0.0318",""
"SN2018ghp","2018/09/03","18.22","-19.2","","0.069,0.069","Ia","0.0277",""
"SN2007kx","2007/09/22","20.24","-19.02","SDSS J01342.87+003908.3","0.155,0.152","Ia","0.0241",""
"SN2012dk","2012/06/26","14.89","-19.1","ESO 50-G6","0.014","Ia","0.0254",""
"SDSS-II SN 21389","2007/11/04","21.8","-20.21","","0.528,0.431","II","0.0223",""
"SN2005hy","2005/10/11","19.68","-19.595","SDSS J01423.63+001959.4","0.1562,0.156291","Ia","0.024",""
"SN1988U","1988/08/10","22","-19.12","A001418-3025","0.356","Ia","0.0111",""
"SDSS-II SN 20588","2007/10/06","22.5","-18.1353","SDSS J01426.87+000531.1","0.28667","Ia","0.022",""
"SN1998dk","1998/08/19","15.2","-18.2","UGC 139","0.01322,0.01319,0.01322","Ia","0.0386",""
"SN2016gxp","2016/10/05","15.92","-18.67","NGC 51","0.0186,0.0186","Ia","0.1051",""
"SN2008db","2008/06/13","14.5","-20.137","NGC 50","0.01902","Ia","0.0314",""
"SN2018fdv","2018/08/13","19.71","-18.4","","0.094,0.094","Ia","0.0379",""
"SDSS-II SN 16015","2006/10/21","22.19","","","","Ia","0.0494",""
"SDSS-II SN 14050","","21.47","-18.3396","SDSS J01455.63+001133.6","0.198479","Ia","0.0229",""
"SDSS-II SN 15961","2006/10/22","22.71","-17.9144","SDSS J01459.92-004815.2","0.285281","Ia","0.0351",""
"SN2007s1","2007/10/21","19.6","-15.83","2MASX J00150006+1619596","0.0274,0.0276","Ia","0.0589",""
"SN2018fiw","2018/08/21","17.95","-18.702","MRK 0941","0.04777,0.04777","Ia","0.0495",""
