Name,Disc. Date,mmax,Mmax,R.A.,Dec.,z,Type,E(B-V)
SN2005hj,2005/10/26,17.7,-19.3382,"01:26:48.40,01:26:48.4,01:26:48.408,01:26:48.26,01:26:48.27,01:26:48.269","-01:14:17.2,-01:14:17,-01:14:17.232,-01:14:17.304,-01:14:17.268,-01:14:16.80,-01:14:16.8",0.056948,Ia,0.0329
SN2011by,2011/04/26,12.38,-18.12,"11:55:45.56,11:55:45.6,11:55:45.559","+55:19:33.8,+55:19:33.24,+55:19:33.82",0.002843,Ia,0.0119
SN2003fa,2003/06/01,16.4,-19.69,"17:44:07.72,17:44:07.721,17:44:07.728","+40:52:51.6,+40:52:51.60,+40:52:51.69",0.006004,Ia,0.0334
SN2002dp,2002/06/18,14.43,-19,"23:28:30.12,23:28:30.120","+22:25:38.8,+22:25:38.78",0.011639,Ia,0.0422
SN2005al,2005/02/24,15.01,-18.9,"13:50:01.497,13:50:0.24,13:50:00.33,13:50:00.329","-30:34:42.22,-30:34:34.32,-30:34:34.2,-30:34:34.21","0.013286,0.012402",Ia,0.0483
SN1996X,1996/04/12,12.71,-18.9,"13:18:01.13,13:18:01.130","-26:50:45.3,-26:50:45.31","0.00689,0.00627,0.00629,0.00636,0.00749",Ia,0.0596
SN2007nq,2007/10/21,17.41,-19.0567,"00:57:33.60,00:57:33.721,00:57:33.6,00:57:33.58,00:57:33.57,00:57:33.569","-01:23:19.5,-01:23:20.29,-01:23:19.464,-01:23:19.00,-01:23:19.0","0.043904,0.04393,0.04503",Ia,0.0312
SN1995D,1995/02/10,12.7,-20,"09:40:54.753,09:40:54.79,09:40:54.751,09:40:54.75","+05:08:26.16,+05:08:26.6,+05:08:26.20,+05:08:26.2",0.006561,Ia,0.0484
SN2008ae,2008/02/09,16.88,-18.757,"09:56:03.20,09:56:03.160,09:56:03.12,09:56:03.199","+10:29:58.8,+10:29:58.52,+10:29:58.92,+10:29:58.81",0.03006,Ia-02cx,0.0235
SN2008fp,2008/09/11,13.39,-18.836,"07:16:32.60,07:16:32.64,07:16:32.599,07:16:32.6","-29:19:31.7,-29:19:31.80,-29:19:31.69","0.006287,0.005664",Ia,0.1686
SN2018kyi,2018/12/27,16.62,-18.27,"07:07:09.504,07:07:09.6","+26:19:29.73,+26:19:29.64,+26:19:30",0.0214,Ia,
SN2007if,2007/08/16,17.48,-20.1082,"01:10:51.37,01:10:51.370,01:10:51.408,01:10:51.36","+15:27:39.9,+15:27:39.63,+15:27:39.6,+15:27:39.96,+15:27:39.89",0.073092,Ia Pec,0.0715
SN2017ckx,2017/03/28,13.88,-21.5759,"07:48:11.006,07:48:11.010,07:48:11.04","+28:13:49.04,+28:13:49.08","0.027675,0.027675",Ia,0.0295
SN2003hv,2003/09/09,12.49,-19.08,"03:04:09.32,03:04:09.319","-26:05:07.5,-26:05:07.51","0.005601,0.005624",Ia,0.0133
SN2018aqe,2018/04/05,13.92,-22.5791,"14:35:53.417,20:20:21.690,14:35:53.709,20:20:21.693,14:35:53.76,20:20:21.6","+35:17:18.13,+15:26:00.49,+35:17:15.23,+35:17:15.36,+15:26:00.6",0.044557,Ia,0.0086
SN2007cq,2007/06/21,15.29,-20.02,"22:14:40.41,22:14:40.32,22:14:40.43,22:14:40.430","+05:04:48.6,+05:04:48.612,+05:04:48.9,+05:04:48.90","0.0259,0.0257,0.0247,0.0255,0.0243,0.0248,0.0264",Ia,0.0922
SN2002cx,2002/05/12,17.3,-18.75,"13:13:49.72,13:13:49.721","+06:57:31.9,+06:57:31.90","0.02396,0.02396",Ia-02cx,0.0278
SN2007co,2007/06/04,16.1,-19.19,"18:23:03.60,18:23:03.6,18:23:03.600","+29:53:49.6,+29:53:49.56,+29:53:49.49,+29:53:49.5",0.026962,Ia,0.0964
SN2008A,2008/01/02,15.68,-19,"01:38:17.38,01:38:17.394,01:38:17.4,01:38:17.381","+35:22:13.7,+35:22:13.06,+35:22:13.08,+35:22:13.69",0.016455,Ia-02cx,0.0427
SN2001eh,2001/09/09,16.4,-19.6,"01:38:12.10,01:38:12.101","+41:39:18.8,+41:39:18.79","0.037039,0.037036",Ia,0.0538
SN1997br,1997/04/10,13.58,-18,"13:20:42.40,13:20:42.401","-22:02:12.3,-22:02:12.30,-22:02:13.3",0.006941,Ia Pec,0.0967
SN2006ej,2006/08/23,15.46,-19.3,"00:38:59.77,00:38:59.770","-09:00:56.6,-09:00:56.59","0.019333,0.020452",Ia,0.0296
SN2006lf,2006/10/26,15.35,-18,"04:38:29.49,04:38:29.496,04:38:29.489","+44:02:01.5,+44:02:01.68,+44:02:01.50",0.013189,Ia,0.8161
SN2008bc,2008/03/13,15.43,-18.7893,"09:38:31.23,09:38:31.20,09:38:31.229","-63:58:25.6,-63:58:25.68,-63:58:25.61","0.015707,0.015707",Ia,0.2251
SN2011B,2011/01/07,12.39,-19.19,"08:55:48.10,08:55:48,08:55:48.499,08:55:48.50","+78:13:01.6,+78:13:00.84,+78:13:02.71,+78:13:02.7",0.00467,Ia,0.0265
SN2001ep,2001/10/03,14.83,-18.9,"04:57:00.26,04:57:00.259","-04:45:40.2,-04:45:40.21",0.013012,Ia,0.0388
SN2007ca,2007/04/25,15.47,-18.9,"13:31:05.81,13:31:06,13:31:5.76,13:31:05.810","-15:06:06.6,-15:06:06.12,-15:06:06.48,-15:06:06.59",0.014066,Ia,0.0571
SN2009Y,2009/02/01,14.14,-17.8,"14:42:23.68,14:42:24.563,14:42:23.76,14:42:24.55,14:42:23.849,14:42:23.85","-17:14:48.3,-17:14:46.70,-17:14:48.12,-17:14:46.3,-17:14:48.41,-17:14:48.4",0.009316,Ia,0.1016
SN2004S,2004/02/03,14.32,-18.6,"06:45:43.50,06:45:43.500","-31:13:52.5,-31:13:52.50","0.00937,0.00937,0.00901",Ia,0.0857
SN1999ek,1999/10/20,16.08,-18,"05:36:31.60,05:36:31.601","+16:38:17.8,+16:38:17.81","0.01752,0.01752",Ia,0.4794
SN2001bf,2001/05/03,14.19,-19.8,"18:01:33.99,18:01:33.989","+26:15:02.3,+26:15:02.30",0.015501,Ia,0.0845
SN2015bw,2015/04/01,17.08,-19,"13:33:22.89,13:33:22.890,13:33:22.8","+58:43:31.5,+58:43:31.50,+58:43:31.44",0.03,Ia,0.0075
SN2007ax,2007/03/21,14.54,-18,"08:22:43.26,08:22:43.20,08:22:43.260,08:22:43.23","+22:33:16.9,+22:33:16.92,+22:33:16.88","0.006861,0.007638",Ia Pec,0.0446
SN2005iq,2005/11/05,16.65,-18.99,"23:58:32.50,23:58:32.4,23:58:32.40,23:58:32.501","-18:42:33.0,-18:42:32.76,-18:42:33.12,-18:42:33.01","0.032929,0.034043",Ia,0.0186
LSQ13ry,2013/03/30,16.09,-20,10:32:48.00,"+04:11:51.4,+04:11:51.75,+04:11:51.8",0.03,Ia,0.0403
SN2006is,2006/09/18,16.28,-19.4536,"05:17:34.37,05:17:34.370","-23:46:54.2,-23:46:54.12,-23:46:54.19","0.031421,0.031421",Ia,0.029
SN1998dh,1998/07/20,13.93,-18.5,"23:14:40.31,23:14:40.310","+04:32:14.1,+04:32:14.10","0.00897,0.00897,0.00881",Ia,0.058
SN2001ay,2001/04/18,15.1,-20.55,"14:26:17.00,14:26:16.999","+26:14:55.8,+26:14:55.79","0.03024,0.03024",Ia Pec,0.0159
